user screen name,att,RT?
ThomasD53685264,['DGPurser'],retweet
lisa_morales63,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
WMFBennett,"['beth2_k3a', 'ChuckSchumer', 'SenateGOP', 'senatemajldr']",retweet
powerglobalus,['johncardillo'],tweet
JulieFi50564071,['realDonaldTrump'],tweet
GradyHughes4,['charliekirk11'],retweet
vstylish,['ajsolorzano'],retweet
__shots0fKaay,['1funnymike'],retweet
arpmdx,['twitchyteam'],tweet
Gjarfan,['tedcruz'],tweet
Tosqui82,['Rosariodf'],retweet
saconcifd,['elcitizen'],retweet
gloriap__,['HOMEBOY187_'],retweet
oswatee,['nytimeses'],retweet
bourbasted,['charliekirk11'],retweet
CarlosSamano97,['Martin_cudi'],retweet
ROMANTICPOET111,['The_Trump_Train'],retweet
CaptainThumbs,['adamcbest'],retweet
lan_smithers,['HOMEBOY187_'],retweet
linda_stalcup,['RagingGayCons'],retweet
aayahst,['_pachecoJA'],retweet
Woodrow_Gus,"['peggyperez', 'POTUS']",retweet
RuthieRedSox,['CB618444'],retweet
CEV_52,['PaisaTweets_'],retweet
iromerovazquez,['revistaproceso'],retweet
keyspan,['funder'],tweet
webb_carrie,['charliekirk11'],retweet
safety_wayne,['RagingGayCons'],retweet
retrortega,['calacuayoMX'],retweet
emilover_,['HeribertoDuarte'],retweet
abecpa,['business'],tweet
leslyk,[],tweet
ElsieTillie,['funder'],tweet
dawnresist,['PalmerReport'],retweet
OneofeachBrown,['RepTimBurchett'],retweet
jraww22,[],tweet
HilarioJurez1,[],tweet
EOLeinberger,['SonniGilley'],tweet
Mari_loveee,['PaisaTweets_'],retweet
janice_spears56,"['Cordicon', 'tedcruz']",retweet
CookieFreshPimp,['urbanarson'],retweet
JobTrendr,['PureMichGirl'],retweet
jrgele36,"['yustedqueopina', 'FelipeCalderon']",retweet
yzany,"['charliekirk11', 'SenTedCruz', 'tedcruz']",tweet
DavalozJ,['ElyangelicaNews'],retweet
macofrijo,"['Milenio', 'vhmichel', 'liliana_sosa', 'AlexDominguezB']",tweet
AdvinMovieland,['tedcruz'],tweet
Taraboneapart,['DonaldJTrumpJr'],tweet
tek22gbp,['barmore27'],retweet
GeorgeL69256801,['charliekirk11'],retweet
RRBlackWraith,"['LS5Vendetta', 'emfvet78', 'ArchKennedy', 'realDonaldTrump', 'SenTedCruz']",retweet
DavidWitcher14,['RedNationRising'],tweet
primzfolkz,['barmore27'],retweet
hotbbq11,['SenTedCruz'],retweet
joengaal,[],tweet
GodFatha702,"['LNW4Trump', 'SenTedCruz', 'senatemajldr', 'SenateGOP']",retweet
cynthiastach,['grantstern'],tweet
JGanos,['Constitution_76'],tweet
ahuizotl70,['AntiTelevisaMx'],retweet
barbastienes,"['Miriam_Junne', 'FelipeC']",retweet
linda_stalcup,['charliekirk11'],retweet
rosaigg,['elcitizen'],retweet
dporter721,"['RepMarkGreen', 'SenTedCruz']",tweet
800Noticias,[],tweet
DanyDanynacho6,['LongoTierra'],retweet
HaleydSmith2612,['charliekirk11'],retweet
HJamesMelvin,['NBCNews'],tweet
djdonlea,['Libertyhound1'],retweet
elite99thc,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
MDavidMorris2,['LadyRedWave'],retweet
MonarchForCNP,['modernancientAB'],retweet
ariannamariluis,[],tweet
kollectiblekit1,['grantstern'],tweet
kilometro50JMM,[],tweet
MynameIsNoeJ,['callodehacha'],retweet
jimtriz1,['funder'],tweet
kgoos2,[],tweet
GoodWJG,['charliekirk11'],retweet
napoleonlp,['elcitizen'],retweet
dawnearlylight1,"['LNW4Trump', 'SenTedCruz', 'senatemajldr', 'SenateGOP']",retweet
DebbieC50234788,['jaketapper'],tweet
pyramidmedicine,[],tweet
macleod1462,['charliekirk11'],retweet
Craybo23,"['beth2_k3a', 'ChuckSchumer', 'SenateGOP', 'senatemajldr']",retweet
JoannOceanfalls,['johncardillo'],tweet
yodokono,"['alfredalva101', 'lopezdoriga', 'lopezobrador_', 'Radio_Formula']",retweet
bigbluecc1,['SenTedCruz'],retweet
Chrisconsrv1776,['CB618444'],retweet
Sarcastaments,['adamcbest'],retweet
psuflyers24,['ChipReiderson'],retweet
soulamami,['_brandoc'],retweet
NewsRedfox,[],tweet
mjjmnyc,['charliekirk11'],tweet
fpolito459,['tedcruz'],tweet
aImintchev,['thehill'],retweet
Davianitah,['patriciajaniot'],retweet
do_irma,['Mboe55'],retweet
damico_honey,['charliekirk11'],retweet
AliiSoto,['brozoxmiswebs'],retweet
Starpower_kid,['HOMEBOY187_'],retweet
Hawkeye40013165,['Bornabrit1'],retweet
J_Cole26,['CNNPolitics'],tweet
Getaclue77,['charliekirk11'],retweet
UrielSalgadoUs,['Milenio'],tweet
strdbertram,['CandaceTX'],retweet
DavidWitcher14,"['Jali_Cat', 'BetoORourke']",retweet
CardTrump2,['charliekirk11'],retweet
QGraphi,['charliekirk11'],retweet
ProfSchlitzo7,"['M4G4G1RL', 'tedcruz']",tweet
mmcandy64,['charliekirk11'],retweet
rottenblackcats,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
watson1_z,"['PatriotPennsy', 'GovernorWolf', 'POTUS', 'realDonaldTrump', 'ICEgov']",retweet
GaloGrijalvau,[],tweet
Secta_Rayada,[],tweet
MariluLd,['AintUEdhem'],retweet
Xavis_esca,['RickYMortyMX'],retweet
_KaylaFaithxx,['adamcbest'],retweet
francisgp2010,['elcitizen'],retweet
normousdixie,['SenTedCruz'],retweet
emanuelmendoza1,"['yustedqueopina', 'FelipeCalderon']",retweet
joanne83davis,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
88Leolozano,[],tweet
DivinityTina,['_pachecoJA'],retweet
CoriaJofre,['HCAQUILMES'],retweet
lasillarota,[],tweet
CNN_SUX,['SenTedCruz'],retweet
Sophia96235544,['RagingGayCons'],retweet
UrielSalgadoUs,['revistaproceso'],retweet
myinsidejokebro,"['Jali_Cat', 'BetoORourke']",retweet
PoliticalGracie,['CB618444'],retweet
vacasecat,['CARLOSFMEJIA'],tweet
_jdesantiago_,['1funnymike'],retweet
anniehuguley,['thehill'],retweet
Davianitah,['elpais_america'],retweet
actorjohn,['charliekirk11'],retweet
Richard_Pumas07,['rgomezjunco'],retweet
WPKat,['glennkirschner2'],retweet
chaf66,['ExpansionMx'],tweet
SabuesoDigital_,[],tweet
fwdcrocblu,['grantstern'],tweet
Dannyboy1112,[],tweet
CaraotaDigital,[],tweet
SoCallls,['adamcbest'],retweet
namescroto,[],tweet
AngrypantsJeff,['charliekirk11'],retweet
powerglobalus,"['chuckwoolery', 'mrwalsh__']",retweet
ladieann,"['ladieann', 'tedcruz']",tweet
Roman21956154,['hanalfabeto'],retweet
normousdixie,['SenTedCruz'],retweet
Serching123,['funder'],tweet
MatthewEich1,['RagingGayCons'],retweet
th3dee,['adamcbest'],retweet
Christixn_1,['SenTedCruz'],retweet
TreyMilner1,[],tweet
boii14,['SoMexicans'],retweet
peterjjarman,['Alzer_One'],retweet
Jantxnc,['tedcruz'],tweet
tracyDa34033517,['charliekirk11'],retweet
alexmexicano13,['KentBrockmanMX'],retweet
Mhsbatista,['rudriek'],retweet
SoBeCruzGirl,['LadyRedWave'],retweet
efraindelgado70,['daniellemx_'],retweet
PhotographyS99,['charliekirk11'],retweet
cbenjamin2016,['barmore27'],retweet
Firebuckeye,['KXXVNewsNow'],tweet
richardharris69,['grantstern'],tweet
Jr2012Aguilar,['PaisaCulture'],retweet
thetford57,['tedcruz'],tweet
brendalofez,['Mboe55'],retweet
AmyRose19940389,['realDonaldTrump'],tweet
YankeeMemo,['HCAQUILMES'],retweet
Peptrucha,[],tweet
kab_elza,['HOMEBOY187_'],retweet
Jantxnc,['tedcruz'],tweet
CindyAnnWillis1,"['phil4gop', 'tedcruz', 'senatemajldr']",retweet
_ralphalfa,[],tweet
Kaysuede,['charliekirk11'],retweet
Aleperez1991,['elcitizen'],retweet
alenavarrohn,['Univision'],retweet
sal_vanselous,['charliekirk11'],retweet
BarbRizzo2,['thehill'],retweet
joe56odad,['CB618444'],retweet
esotologist,['SenTedCruz'],retweet
GLisa1974,['charliekirk11'],tweet
waltercanmx,[],tweet
GeddesEllen,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
JayxWavyy,[],tweet
malonett,[],tweet
UrielSalgadoUs,['CNNEE'],retweet
Mariana_mhi,[],tweet
gcippon,['barmore27'],retweet
NancyKr42065306,['tedcruz'],tweet
osoto74soto,['charoguerra'],retweet
CNN_SUX,['SenTedCruz'],retweet
MrsTomJered,['charliekirk11'],retweet
truth4177,[],tweet
Terri2cat,"['funder', 'TedCruz']",retweet
noraicarrasquel,['Vicdeabreu'],retweet
pelado_ruso,['PeroniaRepublic'],retweet
MMIRtweets,['realDonaldTrFan'],retweet
AntiMedia62,"['Cordicon', 'tedcruz']",retweet
Sammy09297735,['HOMEBOY187_'],retweet
MundoMaya26,[],tweet
Sarcastaments,['adamcbest'],retweet
PC_USA50,"['rn_deplorable', 'tedcruz']",tweet
Nichivuul,['_pachecoJA'],retweet
verodago,['realDonaldTrFan'],retweet
AshleyDa40,['The_Trump_Train'],retweet
Citytv,[],tweet
KellyHend39,['barmore27'],retweet
DiDDy915,['ChipReiderson'],retweet
JanetSt0831,['SenTedCruz'],retweet
JustSaying1600,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
Irish1Brian,['realDonaldTrFan'],retweet
Excelsior,['nacholo'],tweet
jandif,['charliekirk11'],retweet
HerbsBanana,['alpipkin'],retweet
sweetangelface,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
mejames0515,['SenTedCruz'],tweet
LadyJus23474884,['tedcruz'],tweet
elibaker2468,['SenTedCruz'],retweet
_15Hector,[],tweet
DredgeItUp,['tedcruz'],tweet
NotiJMM2016,[],tweet
mrerikak,['DGPurser'],retweet
Lucjfer_Cry,['PhillyD'],retweet
ColoradoGirl2A,"['peggyperez', 'POTUS']",retweet
PortalDiarioAR,[],tweet
CafeGalilea,['NTelevisa_com'],tweet
HayeksRevenge,"['jordanfish', 'Free_Ross']",retweet
ENTORNOi,[],tweet
Jantxnc,['barmore27'],retweet
AdvinMovieland,['charliekirk11'],retweet
TorresJuan22,['thehill'],retweet
Fran53458223,['monerorape'],retweet
bzigterman,"['alanblinder', 'alanfeuer']",retweet
WireWizard1957,['tedcruz'],tweet
jennyswhitelie,"['IngrahamAngle', 'realDonaldTrump']",tweet
SCadict,['charliekirk11'],retweet
LittleEagle2000,['barmore27'],retweet
sness5561_ness,"['M4G4G1RL', 'tedcruz']",tweet
JanetSt0831,['SenTedCruz'],retweet
AmericasLoco,['thehill'],retweet
DennisRWilliam3,"['LNW4Trump', 'SenTedCruz', 'senatemajldr', 'SenateGOP']",retweet
ZoescopeStudio,['NYTMetro'],retweet
edygurumpy90,['rgomezjunco'],retweet
CovfefeGun,"['LNW4Trump', 'SenTedCruz', 'senatemajldr', 'SenateGOP']",retweet
celestinocantu,['MiguelCarbonell'],retweet
DenisonSheila,[],tweet
Saul_Moreno_C,['irmoralesl'],retweet
whynottweetnow,['thehill'],retweet
BGHeaven,['grantstern'],tweet
edilu3,[],tweet
khbc2b75i,['charliekirk11'],retweet
CB618444,['SenTedCruz'],retweet
TheConservitar3,['charliekirk11'],retweet
swarez3,['DrMarkGreen4TN'],retweet
akuma_river,"['Drdwngfan97', 'PalmerReport']",retweet
doctorchiz,['TheRickWilson'],tweet
kmarsh625,[],tweet
MuzikMan88,['CBSNewsRadio'],retweet
RobertMihaly1,['adamcbest'],retweet
mmlanzt,['elcitizen'],retweet
snazzygrandma,['charliekirk11'],retweet
m_diskmixx,['funder'],tweet
prettytayaa,['1funnymike'],retweet
ConservativeMo3,['SenTedCruz'],tweet
bentpiton,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
frankju13463677,['charliekirk11'],retweet
MissBoligoma,['AntonioOrtugno'],retweet
rratkinson,['RagingGayCons'],retweet
yajaxoyaja,['B0RRACHIT0'],retweet
lilbulli1031,"['Jali_Cat', 'BetoORourke']",retweet
kalimann56,['francjav1'],retweet
GodoyYeidi,['maibortpetit'],retweet
Fran53458223,['AltStardust'],retweet
danielsaynt,[],tweet
don_selmon,"['funder', 'TedCruz']",retweet
bacon_texas,"['SenTedCruz', 'Univision']",retweet
GothBitches,['SenTedCruz'],retweet
rubenrr254,['ElyangelicaNews'],retweet
mamacarro_,['HOMEBOY187_'],retweet
MuzikMan88,['NYTMetro'],retweet
Liberty_Jibbet,['RagingGayCons'],retweet
anahiiii_gonzzz,['PaisaTweets_'],retweet
ohhjessay__,['_pachecoJA'],retweet
leonelcariasb,['_Pacam'],retweet
gonzalofdzr,['raf11tha05'],retweet
TrumperAZ,['realDonaldTrump'],tweet
MagmaeM,['johncardillo'],tweet
walterboro,['charliekirk11'],retweet
arqueology016,[],tweet
JohnMo00718,['adamcbest'],retweet
DebraMMason1,"['M4G4G1RL', 'tedcruz']",tweet
linmger,['charliekirk11'],retweet
MistyLynn67,['RagingGayCons'],retweet
JackELee23,"['kerpen', 'realDonaldTrump', 'tedcruz']",tweet
jellen805,['SenTedCruz'],retweet
fallonxjulia,['nytimes'],retweet
mommytalks2much,['funder'],tweet
jarvisdavidw,['RedState'],retweet
HikerDogDuo,['DGPurser'],retweet
Glitterous2,['charliekirk11'],retweet
Andres_Web_,['Spideremilio'],tweet
DenisonSheila,"['maryckatytx', 'tedcruz']",tweet
abt5x5,"['rn_deplorable', 'tedcruz']",tweet
DKherbo,['1funnymike'],retweet
realjgill,"['M4G4G1RL', 'tedcruz']",tweet
ConservativeMo3,['ScottPresler'],tweet
lilred701,['DGPurser'],retweet
TonoDeFax,['rgomezjunco'],retweet
rggja,['RRodr1guezC'],retweet
PatriciaLowrey1,['BenKTallmadge'],tweet
barb_swan,"['joncoopertweets', 'DonaldJTrumpJr']",tweet
Shar_n_Shar,"['marycjoyce2', 'nypmetro']",retweet
SquiresRichmond,[],tweet
jcrippen,['charliekirk11'],retweet
Lea07634230,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
Pamjd219,['SenTedCruz'],retweet
dbowen02,['Bornabrit1'],retweet
akuma_river,['PalmerReport'],retweet
NancyKr42065306,"['M4G4G1RL', 'tedcruz']",tweet
holbert_audrey,['barmore27'],retweet
MauricioOrtegaE,['martharoldos'],retweet
R2017Girl,['charliekirk11'],retweet
_triloTee,['_pachecoJA'],retweet
T_yler5,['SenTedCruz'],retweet
jonschmidt05,['charliekirk11'],retweet
HollyLundberg,['tedcruz'],retweet
819ea3e7a06447f,['lobs'],retweet
alexmexicano13,"['El_Universal_Mx', 'LeonKrauze']",tweet
CezrDaPleazr,['NPR'],retweet
andyprimeau,[],tweet
FBGgabe,['HOMEBOY187_'],retweet
ZiejaR,['charliekirk11'],retweet
chopperblade53,['charliekirk11'],retweet
